id,name,title,url,description,category_id,public,created_at,updated_at
40,AntiTecknoTecknoDemo1,"The ""Anti Teckno"" Teckno Demo",ftp://ftp.funet.fi/pub/atari/demo/teckno.lzh,Mirror 1.,4,t,2019-06-18 11:02:22.142767,2019-06-18 11:02:22.142767
41,AntiTecknoTecknoDemo2,"The ""Anti Teckno"" Teckno Demo",ftp://ftp.ibp.fr/pub/atari/Demos/tekno.lzh,Mirror 2.,4,t,2019-06-18 11:02:22.155768,2019-06-18 11:02:22.155768
42,Teckno1,teckno1,/images/demos/teckno.gif,HARDCORE YOU KNOW THA SCORE!!!!,5,t,2019-06-18 11:02:22.168766,2019-06-18 11:02:22.168766
43,AntiTecknoTecknoDemo3,"The ""Anti Teckno"" Teckno Demo",/filez/demos/xmas97.zip,Local copy.,4,t,2019-06-18 11:02:22.178768,2019-06-18 11:02:22.178768
44,Xmas971,xmas97_1,/images/demos/xmas97.jpg,"Merrey Xmas, everyboddy!!!!",5,t,2019-06-18 11:02:22.187777,2019-06-18 11:02:22.187777
45,DadPlazz,DadPlazz!,/filez/demos/dadplazz.zip,Local copy.,4,t,2019-06-18 11:02:22.197767,2019-06-18 11:02:22.197767
46,Dadplazz1,dadplazz1,/images/demos/dadplazz.png,Can you believe this was done in 128 bytes?!?!?,5,t,2019-06-18 11:02:22.206768,2019-06-18 11:02:22.206768
47,MonoMental,Mono-Mental!,/filez/demos/monomntl.zip,Local copy.,4,t,2019-06-18 11:02:22.215768,2019-06-18 11:02:22.215768
48,Mono1,mono1,/images/demos/mono/testcard.gif,Back to mono!!!!,5,t,2019-06-18 11:02:22.224771,2019-06-18 11:02:22.224771
49,UltimateFakeDemo,The Ultimate Fake Demo,/filez/demos/fake.zip,Local copy.,4,t,2019-06-18 11:02:22.242772,2019-06-18 11:02:22.242772
50,Fake1,fake1,/images/demos/fake.gif,Our first FAKE demo!!!,5,t,2019-06-18 11:02:22.256787,2019-06-18 11:02:22.256787
51,Sdpresents,sd_presents,/images/demos/presents.gif,The way we start our demos.,5,t,2019-06-18 11:02:22.267768,2019-06-18 11:02:22.267768
52,Ladmds2,ladmds2,/images/demos/ladmds2.gif,An abstract title page.,5,t,2019-06-18 11:02:22.279769,2019-06-18 11:02:22.279769
53,Airdirt11,airdirt1,/images/demos/airdirt.jpg,An impressionistic demo intro page.,5,t,2019-06-18 11:02:22.288768,2019-06-18 11:02:22.288768
54,OldFart,OldFart,/images/oldfart.jpg,A portrait created for the Air Dirt Demo.,15,t,2019-06-18 11:02:22.298770,2019-06-18 11:02:22.298770
55,DodderingGit,DodderingGit,/images/dodgit.jpg,A portrait created for the Air Dirt Demo.,15,t,2019-06-18 11:02:22.308768,2019-06-18 11:02:22.308768
56,DameVeraLynn,DameVeraLynn,/images/damevera.jpg,A portrait created for the Air Dirt Demo.,15,t,2019-06-18 11:02:22.318768,2019-06-18 11:02:22.318768
57,JacksonPollock,JacksonPollock,/images/jpollock.jpg,A portrait created for the Air Dirt Demo.,15,t,2019-06-18 11:02:22.327768,2019-06-18 11:02:22.327768
58,ColostomyBag,ColostomyBag,/images/colostomy.gif,"CB joined later, and I did a nice portait for him in Photoshop!",15,t,2019-06-18 11:02:22.337768,2019-06-18 11:02:22.337768
59,Fanfare,fanfare,/filez/music/fanfare.zip,Local copy.,9,t,2019-06-18 11:02:22.346768,2019-06-18 11:02:22.346768
60,theme,theme,/filez/music/sdtheme.zip,Local copy.,9,t,2019-06-18 11:02:22.355765,2019-06-18 11:02:22.355765
61,Laurent,laurent,/filez/music/laurent.zip,Local copy.,9,t,2019-06-18 11:02:22.365769,2019-06-18 11:02:22.365769
62,Liam,liam,/filez/music/burp.zip,Local copy.,9,t,2019-06-18 11:02:22.377767,2019-06-18 11:02:22.377767
63,MoveYourAss,MoveYourAss,/filez/music/moveuass.zip,Local copy.,9,t,2019-06-18 11:02:22.387768,2019-06-18 11:02:22.387768
64,XmasBalls,XmasBalls,/filez/music/xmas97.zip,Local copy.,9,t,2019-06-18 11:02:22.396765,2019-06-18 11:02:22.396765
65,NeverMindPistols,NeverMindThePistols,/filez/music/teckno.zip,Local copy.,8,t,2019-06-18 11:02:22.406770,2019-06-18 11:02:22.406770
66,PastIsAnUndiscoveredCountry,PastIsAnUndiscoveredCountry,/filez/music/mono.zip,Local copy.,8,t,2019-06-18 11:02:22.416769,2019-06-18 11:02:22.416769
67,RaseroTeam,RaseroTeam,/filez/music/rasero.zip,Local copy.,8,t,2019-06-18 11:02:22.426321,2019-06-18 11:02:22.426321
68,xmas97,Xmas Card 97,/filez/demos/xmas97.zip,Local copy.,4,t,2019-06-18 11:02:22.436322,2019-06-18 11:02:22.436322
69,DadPlazz,DadPlazz!,/filez/demos/dadplazz.zip,Local copy.,4,t,2019-06-18 11:02:22.446312,2019-06-18 11:02:22.446312
70,MonoMental,Mono-Mental!,/filez/demos/monomntl.zip,Local copy.,4,t,2019-06-18 11:02:22.456301,2019-06-18 11:02:22.456301
71,UltimateFakeDemo,The Ultimate Fake Demo,/filez/demos/fake.zip,Local copy.,4,t,2019-06-18 11:02:22.466337,2019-06-18 11:02:22.466337
